name,genres,year,url,description
.хак//Знак, Детектив  Драма  Игра  Приключения  Сэйнэн  Фантастика  Фэнтези,2002,https://animestars.org/aniserials/video/detective/934-hak-znak.html,"Проснувшись в мире легендарной игры, молодой парень с аниме «.хак//Знак», навсегда потеряет возможность вернуться домой. Здесь, юноша потерял память, не знает ничего, что с ним случилось и не видит никакого шанса на успешное прохождение миссии. Он, вовсе не представляет, что было вчера, как он очутился в затерянном мире, и к чему готовиться в будущем. Цукаса, во избежание конфликта,..."
.хак//Корни, Драма  Игра  Приключения  Фантастика  Фэнтези,2006,https://animestars.org/aniserials/video/drama/937-hak-korni.html,"В игру вступает новичок, о ком пойдет речь аниме «.хак// Корни». Неизвестный мужчина, встревает в схватку только вступившего в поединок юношу и ПЕктрами. После инцидента, он умело спасает незнакомца, при этом обещает ему ещё одну встречу, где тут же расскажет о небывалых приключениях и познакомит с правилами. Невероятно, но мужчиной, спасшего мальчика, окажется ни кто другой, как..."
.хак//Легенда Сумеречного браслета, Игра  Комедия  Приключения  Сёнэн  Фантастика  Фэнтези,2003,https://animestars.org/aniserials/video/game/935-hak-legenda-sumerechnogo-brasleta.html,"На этот раз игра «Мир», о чём гласит аниме «.хак// Легенда Сумеречного браслета», затягивает ещё больше участников, что приведет к серьезным проблемам и непростым баталиям. Более четырех лет прошло с дня, когда случились события предыдущей части, некоторые забыли о неземных проблемах, но все, по старом вникают в суть геймерской жизни. Двум людям, родным сестре и брату, школьникам,..."
22/7, Музыка  Повседневность,2020,https://animestars.org/aniserials/video/music/666-22-7.html,"История становления идолов, весьма, насыщена разными событиями. У каждого она своя. Не стоит недооценивать эту самую историю. Она может быть самой разной и необычной. Тайна, покрытая мраком, может, далеко не сразу открыться вам, а может и не открыться никогда. Большая часть людей в Японии и не подозревают о том, что способны приносить радость в сердца миллионов людей как внутри..."
91 день, Экшен  Драма  История  Приключения,2016,https://animestars.org/aniserials/video/action/580-91-den.html,"Вернемся во времена сухого закона в США. Найти выпивку, казалось, непосильно задачей. Любой продавец заветного алкоголя понимал, что избежать наказания, если поймают, будет невозможно. Действовали крайне жестко. Сажали не только в тюрьмы, но и конфисковывали весь товар. Зачастую, его просто сливали в канализацию. Кто знает, быть может и себе домой на праздники пара бутылок хорошего..."
A.I.C.O. Инкарнация, Экшен  Фантастика,2018,https://animestars.org/aniserials/video/action/926-aico-inkarnacija.html,"2035 год, Япония с посредниками, о чём расскажет экранизация «A.I.C.O. Инкарнация» создали невероятную материю с неприкосновенной атрибутикой. Искусственный организм, получившийся в результате изучения, распределился среди местного населения и занял терриконы ущелья Куробэ, что доказывает его мощь и возможности. Человечество считало городок настоящим прорывом, не подозревая, что..."
ID: Вторжение, Детектив  Психология  Фантастика,2020,https://animestars.org/aniserials/video/detective/655-id-vtorzhenie.html,"События могут развиваться самым непредсказуемым образом. Запомните эти слова, вы их будете вспоминать всегда, когда будете смотреть это Аниме. Технологии развиваются и этот процесс не остановить. Избежать прогресса не удастся никому. Виртуальный мир, постепенно, проникает в наш быт. Сегодня, вы пользуетесь телефонами, завтра вы будете целиком и полностью погружаться в другие миры..."
А вот и чёрная колдунья!, Комедия  Повседневность  Фэнтези  Школа  Многосерийные,2012,https://animestars.org/aniserials/video/comedy/812-a-vot-i-chernaja-koldunja.html,"Тиёко Куротори всегда проявляла интерес к сверхъестественному. Однажды одноклассницы, сидя в гостях у Тиёко, попросили ее провести обряд призвания Купидона. Но Тиёко была простывшая и гундела в нос, и поэтому вместо Купидона вызвала Губидона. Узнала она об этом только на следующий день утром. Губидон — это ведьма с голубыми волосами в черном одеянии с капюшоном. Кроме девочки..."
"А ты думал, что твоя жена в онлайн-игре на самом деле не девушка?", Гарем  Игра  Комедия  Романтика  Сёнэн  Школа  Этти,2016,https://animestars.org/aniserials/video/garem/405-a-ty-dumal-chto-tvoya-zhena-v-onlayn-igre-na-samom-dele-ne-devushka.html,"Люди, которые играют в онлайн игры прекрасно знают, что одна из самых больших прелестей игры – это игра не за свой пол. Из-за этого могут случаться забавные казусы. Вот, общаешься ты, с персонажем женского пола и думаешь о том, что за монитором сидит красивая девушка и мило с тобой общается. И вот, в один прекрасный момент, ты узнаешь, что это мужик играет за женского персонажа...."
Абсолютный дуэт, Гарем  Комедия  Романтика  Сэйнэн  Фэнтези  Школа  Этти,2015,https://animestars.org/aniserials/video/garem/60-absolyutnyy-duet.html,"На протяжении, большей части, истории человечества, над ним проводили различные исследования. Начиналось все испытанием лекарств и заканчивалось пересадками органов. Конечно же, по началу, люди от этого страдали или еще хуже, могли вообще умереть. В современном мире все более гуманно и происходит под контролем мирового сообщества, что исключает незаконные опыты на людях, хотя и без..."
Аватар короля, Экшен  Игра  Комедия  Приключения  Фэнтези  Китайские,2017,https://animestars.org/aniserials/video/action/104-avatar-korolya.html," В современном мире нет, наверно, ни одного человека, который ни разу не играл бы в онлайн-игры, или хотя бы не слышал о них. В настоящее время существует огромный выбор MMORPG, где каждый может выбрать себе игру по душе. Сюжет аниме «Аватар короля» посвящен именно этому популярному разделу компьютерных игр. Кроме того, в его основе лежит одноименная китайская новелла о судьбах..."
Аватар короля 2 сезон, Экшен  Игра  Комедия  Китайские,2020,https://animestars.org/aniserials/video/action/440-avatar-korolya-2-sezon.html,"Таких игроков в компьютерные игры как Е Сю можно пересчитать по пальцам одной руки. Парень настолько талантлив и находчив, что в состоянии вести за собой не только маленький отряд, но и гильдию при этом исправляя ошибки людей прям на поле боя. Он видит поле боя как шахматную доску. Стоит ему начать игру, как он уже будет знать о развитии событий на доске вплоть до объявления «Шах и..."
Адати и Симамура, Лесби-тема  Повседневность  Романтика  Школа,2020,https://animestars.org/aniserials/video/yuri/916-adati-i-simamura.html,"Школьницы с аниме «Адати и Симамура» никогда не пытались стать старательными ученицами, они лишь умеют, прогуливать уроки. Все прогулы приводят к серьезной проблеме, ведь учителя и директор ничего не могут предпринять, они, словно не имеют рук и права голоса. Раньше, они не знали о существовании друг дружки, но однажды, возле спортивного зала, их судьба сведет вместе. Постепенно, не..."
